NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT04431453,"Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of Remdesivir (GS-5734™) in Participants From Birth to < 18 Years of Age With Coronavirus Disease 2019 (COVID-19)",CARAVAN,Recruiting,No Results Available,COVID-19,Drug: Remdesivir,Proportion of Participants Experiencing any Treatment-Emergent Adverse Events|Proportion of Participants Experiencing any Treatment-Emergent Graded Laboratory Abnormalities|Plasma Concentrations of Remdesivir (RDV) and Metabolites|Change From Baseline in Oxygenation Use|Change From Baseline in the Use of Mechanical Ventilation or Extracorporeal Membrane Oxygenation (ECMO)|Clinical Improvement on a 7-point Ordinal Scale|Time (days) to Discharge From Hospital|Days to First Confirmed Negative Polymerase Chain Reaction (PCR) Result|Change From Baseline in Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV-2) Viral Load|Bilirubin Concentrations in < 14-day-old Participants|Clinical Improvement Based on Scoring Using the Pediatric Early Warning Score (PEWS) Improvement Scale|Plasma Concentrations of Sulfobutylether β-cyclodextrin Sodium (SBECD)|Proportion of Participants With Concomitant Use of Medications other than RDV for Treatment of Coronavirus Disease 2019 (COVID-19),Gilead Sciences,All,"up to 18 Years   (Child, Adult)",Phase 2|Phase 3,52,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GS-US-540-5823|2020-001803-17,21-Jul-20,Feb-21,Feb-21,16-Jun-20,,10-Dec-20,"Children's Hospital of Alabama, Birmingham, Alabama, United States|Ronald Reagan University of California, Los Angeles Medical Center, Los Angeles, California, United States|Valley Children's Hospital, Madera, California, United States|Rady Children's Hospital San Diego, San Diego, California, United States|Tampa General Hospital (Inpatient Visits), Tampa, Florida, United States|Ann & Robert H. Lurie Children's Hospital, Chicago, Illinois, United States|Tulane University School of Medicine, New Orleans, Louisiana, United States|Johns Hopkins Children's Center, Baltimore, Maryland, United States|Boston Children's Hospital, Boston, Massachusetts, United States|UMass Memorial Medical Center - University Campus, Worcester, Massachusetts, United States|Children's Hospital of Michigan, Detroit, Michigan, United States|Spectrum Health/Helen De Vos Children's Hospital, Grand Rapids, Michigan, United States|Children's Minnesota, Minneapolis, Minnesota, United States|Children's Hospital and Medical Center, Omaha, Nebraska, United States|NYC Health + Hospitals/Jacobi Medical Center, Bronx, New York, United States|Montefiore Medical Center, Bronx, New York, United States|Northwell Health-Cohen Children's Medical Center, New Hyde Park, New York, United States|Carolinas Medical Center-Levine Children's Hospital, Charlotte, North Carolina, United States|Lehigh Valley Hospital/Lehigh Valley Health Network (LVH/LVHN), Allentown, Pennsylvania, United States|St. Christopher's Hospital for Children, Philadelphia, Pennsylvania, United States|Children's Medical Center, Dallas, Texas, United States|Texas Children's Hospital, Houston, Texas, United States|Azienda Ospedaliero Universitaria Meyer, Florence, Italy|University Hospital of Parma, Parma, Italy|Hospital Universitari Vall D'Hebron, Barcelona, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|University Hospitals Birmingham NHS Foundation Trust, Birmingham, United Kingdom|Alder Hey Children's NHS Foundation Trust, Liverpool, United Kingdom|Guy's and St Thomas' NHS Foundation Trust, London, United Kingdom|King's College NHS Foundation Trust, London, United Kingdom",,https://ClinicalTrials.gov/show/NCT04431453
NCT04658121,SARS-CoV-2/COVID-19 PREVALENCE STUDY,,Not yet recruiting,No Results Available,COVID-19,,"To estimate the prevalence of SARS-CoV-2 IgG seropositivity among individuals in communities surrounding selected NIAID clinical research sites|To estimate prevalence of SARS-CoV-2 infection based on results of SARS-CoV-2 RNA testing|To estimate prevalence of SARS-CoV-2 infection by presence versus absence of symptoms consistent with COVID-19|To estimate seroprevalence of SARS-CoV-2|To assess correlation between demographic, clinical and social factors with SARS-CoV-2 infection and seroprevalence|To estimate potential size of populations for referral to COVID-19 prevention and treatment studies|To assess knowledge, attitudes, and behavior about SARS-CoV-2 and COVID-19 through a study questionnaire|To compare performance characteristics of PCR-based and serologic SARS-CoV-2 tests using saliva and/or oral fluid and DBS samples",COVID-19 Prevention Network,All,"2 Months and older   (Child, Adult, Older Adult)",,3920,Other,Observational,Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional,CoVPN 5002,15-Dec-20,30-Mar-21,30-Mar-21,8-Dec-20,,8-Dec-20,"Children's Hospital Colorado CRS, Aurora, Colorado, United States|U of Miami, IDRU at Jackson Memorial Hospital CRS, Miami, Florida, United States|The Ponce de Leon Center CRS, Atlanta, Georgia, United States|UIC Project Wish CRS, Chicago, Illinois, United States|New Orleans Adolescent Trials Unit CRS, New Orleans, Louisiana, United States|John's Hopkins CRS, Baltimore, Maryland, United States|New Jersey Medical School CRS, Newark, New Jersey, United States|Harlem Prevention, New York, New York, United States|Bronx Prevention Center, New York, New York, United States|Chapel Hill CRS, Chapel Hill, North Carolina, United States|Cincinnati CRS, Cincinnati, Ohio, United States|Penn Prevention CRS, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Baylor College of Medicine, Houston, Texas, United States|St. Louis University VTEU-CAIMED-PHSU, Ponce, Puerto Rico",,https://ClinicalTrials.gov/show/NCT04658121
NCT04404192,PH94B in the Treatment of Adjustment Disorder With Anxiety,,Not yet recruiting,No Results Available,Adjustment Disorder With Anxious Mood,Drug: PH94B,Hamilton Anxiety Scale|Sheehan Disability Scale|Adjustment Disorder New Module (ADNM)|Clinical Global Impression - Improvement rating (CGI-I),"VistaGen Therapeutics, Inc.",All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,30,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,PH94B-CL-029,Nov-20,Jul-21,Sep-21,27-May-20,,27-May-20,"The Medical Research Network, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04404192
NCT04494646,BARCONA: A Study of Effects of Bardoxolone Methyl in Participants With SARS-Corona Virus-2 (COVID-19),,Recruiting,No Results Available,Covid19,Drug: Bardoxolone methyl|Drug: Placebo,Incidence of Serious Adverse Events in Phase 2|Proportion of participants who have recovered in Phase 3|Average number of renal replacement therapy (RRT)-free days|Average number of mechanical ventilation-free days|Incidence of All-Cause Mortality|Proportion of participants who experienced deterioration from baseline,"NYU Langone Health|Reata Pharmaceuticals, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,440,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",20-00591,8-Sep-20,30-Jan-21,28-Feb-21,31-Jul-20,,3-Nov-20,"HSHS St. John's Hospital (Prairie Education and Research Cooperative), Springfield, Illinois, United States|SIU School of Medicine, Springfield, Illinois, United States|NYU Langone Hospital - Brooklyn, Brooklyn, New York, United States|Coney Island Hospital, Brooklyn, New York, United States|Elmhurst Hospital Center, Elmhurst, New York, United States|NYU Winthrop Hospital, Mineola, New York, United States|NYU Bellevue Hospital Center, New York, New York, United States|NYU Langone Health, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04494646
NCT04417257,Study of LAU-7b for the Treatment of COVID-19 Disease in Adults,RESOLUTION,Recruiting,No Results Available,COVID-19 Disease,Drug: LAU-7b|Drug: Placebo oral capsule,"Proportion of patients alive and free of respiratory failure (Ordinal Scale scores 1-4)|The safety of LAU-7b therapy will be assessed through the monitoring of treatment emergent adverse events, compared to placebo|Health status of the patient on the 7-point Ordinal Scale compared to placebo|Rate of all-causes death, depicted by a change from baseline in the Ordinal Scale score to category 7|Rate of COVID-19 disease-related aggravation, depicted by a change from baseline in the ordinal scale score of at least one category, compared to placebo|Rate of COVID-19 disease-related transfer to intensive care unit, depicted by a change from baseline in the ordinal scale score to categories 5 or 6, compared to placebo|Rate of COVID-19 disease-related transfer to mechanical ventilation, depicted by a change from baseline in the ordinal scale score to category 6, compared to placebo|Mean change from baseline of the ordinal scale patient health status as a function of assessment time, compared to placebo|Time to an improvement of one category on the ordinal scale patient health status, compared to placebo|Time to recovery, defined here as the time to reach categories 2 or 1 on the ordinal scale patient health status (first occurrence if more than once), compared to placebo|Time to mechanical ventilation, defined here as time to reach category 6 on the ordinal scale patient health status, compared to placebo|Time to death, defined here as a time to reach category 7 on the ordinal scale patient health status, censored to Day 29 if it happens later than Day 29, compared to placebo|Duration of hospitalization (days) within the study period Days 1-29, compared to placebo|Time to attain an undetectable viral load through oropharyngeal swabs done at specified times, compared to placebo|The change from baseline in the score obtained on the EQ-5D-5L quality-of-life survey",Laurent Pharmaceuticals Inc.,All,"18 Years and older   (Adult, Older Adult)",Phase 2,240,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",LAU-20-01,29-Jun-20,30-Apr-21,30-May-21,4-Jun-20,,5-Jan-21,"Chandler Regional Medical Center / Mercy Gilbert Medical Center, Chandler, Arizona, United States|Baptist Medical Center Beaches, Jacksonville Beach, Florida, United States|St Lukes Hospital, Boise, Idaho, United States|University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States|Anne Arundel Medical Center, 2001 Medical Parkway, Belcher Pavillion, Annapolis, Maryland, United States|Wayne State University, Harper University Hospital, Detroit, Michigan, United States|Roper St. Francis Healthcare, Charleston, South Carolina, United States|Houston Methodist Hospital, Houston, Texas, United States|St-Paul's Hospital, Vancouver, British Columbia, Canada|Centre d'études cliniques CIUSS SLJ, Hôpital Chicoutimi, Chicoutimi, Quebec, Canada|CIUSSSS de l'Est-de-l'Ile-de-Montréal, Hôpital Maisonneuve-Rosemont, Montréal, Quebec, Canada|Centre Hospitalier de l'Université de Montréal, Montréal, Quebec, Canada|Jewish General Hospital, Montréal, Quebec, Canada|McGill University Health Centre, Montréal, Quebec, Canada|CISSS Ds Laurentides, Saint-Jérôme, Quebec, Canada",,https://ClinicalTrials.gov/show/NCT04417257
NCT04359680,Trial to Evaluate the Efficacy and Safety of Nitazoxanide (NTZ) for Pre- and Post Exposure Prophylaxis of COVID-19 and Other Viral Respiratory Illnesses (VRI) in Healthcare Workers and Others at Increased Risk of SARS-CoV-2 Infection,,Recruiting,No Results Available,COVID-19|Viral Respiratory Illnesses,Drug: Nitazoxanide|Drug: Placebo|Dietary Supplement: Vitamin Super B-Complex,The proportion of subjects with symptomatic laboratory-confirmed COVID-19 identified after start of treatment and before the end of the 6-week treatment period.|The proportion of subjects with symptomatic laboratory-confirmed VRI identified after the start of treatment and before the end of the 6-week treatment period.,Romark Laboratories L.C.,All,"18 Years to 120 Years   (Adult, Older Adult)",Phase 3,4000,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",RM08-3007,13-May-20,30-Apr-21,30-Apr-21,24-Apr-20,,29-Oct-20,"HealthStar Research LLC, Hot Springs, Arkansas, United States|So Cal Clinical Research, Huntington Beach, California, United States|Long Beach Clinical Trials, LLC, Long Beach, California, United States|Meris Clinical Research, Brandon, Florida, United States|Invesclinica US LLC, Fort Lauderdale, Florida, United States|The Chappel Group Research, Kissimmee, Florida, United States|New Horizon Research Center, Miami, Florida, United States|Clinical Neuroscience Solutions, Inc., Orlando, Florida, United States|DMI Research, Pinellas Park, Florida, United States|Tampa General Hospital, Tampa, Florida, United States|Chicago Clinical Research Institute, Inc., Chicago, Illinois, United States|Chicago Medical Research Institute, Inc., Chicago, Illinois, United States|Quad Clinical Research, Chicago, Illinois, United States|Chicago Medical Research, LLC, Hazel Crest, Illinois, United States|Centex Studies, Inc., Lake Charles, Louisiana, United States|Vida Clinical Studies, Dearborn, Michigan, United States|Beacom Family Health Connection, Fremont, Nebraska, United States|North Jersey Community Research Initiative, Newark, New Jersey, United States|RH Medical Urgent Care Professional PLLC, Bronx, New York, United States|Integrative Clinical Trials LLC, Brooklyn, New York, United States|The New York Center for Travel and Tropical Medicine, New York, New York, United States|Centex Studies, Inc., Houston, Texas, United States|SMS Clinical Research LLC, Mesquite, Texas, United States|LinQ Research LLC, Pearland, Texas, United States|Rio Grande Valley Clinical Research Institute, Pharr, Texas, United States|BFHC Research, San Antonio, Texas, United States",,https://ClinicalTrials.gov/show/NCT04359680
NCT04358003,Plasma Adsorption in Patients With Confirmed COVID-19,,Recruiting,No Results Available,Respiratory Failure|ARDS,Device: Marker Therapeutics D2000 Cartridge (D2000) for use with the Spectra Optia® Apheresis System (Optia SPD Protocol),All-cause mortality|Change in Sequential Organ Failure Assessment [SOFA] scores,Marker Therapeutics AG|Terumo BCT,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,2000,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MH-007/B,20-May-20,1-Aug-21,1-Dec-21,22-Apr-20,,17-Aug-20,"UNM Health Science Center, Albuquerque, New Mexico, United States|Providence Portland Medical Center, Portland, Oregon, United States|UT Southwestern/Clements Hospital, Dallas, Texas, United States|UTMB, Galveston, Texas, United States|Inova Fairfax Medical Campus, Falls Church, Virginia, United States",,https://ClinicalTrials.gov/show/NCT04358003
NCT04382651,Study of Efficacy and Safety of MAS825 in Patients With COVID-19,MAS-COVID,Recruiting,No Results Available,"COVID-19 Pneumonia, Impaired Respiratory Function",Drug: MAS825|Drug: Matching placebo,APACHE II severity of disease score on Day 15 or on day of discharge (whichever is earlier)|Serum C-reactive protein (CRP levels)|Ferritin levels|Proportion of participants without the need for invasive mechanical ventilation|Proportion of participants with at least one level improvement in clinical status|Clinical status over time,Novartis Pharmaceuticals|Novartis,All,"18 Years and older   (Adult, Older Adult)",Phase 2,140,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",CMAS825F12201,7-Jun-20,6-Jan-21,14-Apr-21,11-May-20,,16-Dec-20,"Novartis Investigative Site, Chula Vista, California, United States|Novartis Investigative Site, Glendale, California, United States|Novartis Investigative Site, Irvine, California, United States|Novartis Investigative Site, La Mesa, California, United States|Novartis Investigative Site, Mission Hills, California, United States|Novartis Investigative Site, Santa Monica, California, United States|Novartis Investigative Site, Torrance, California, United States|Novartis Investigative Site, Denver, Colorado, United States|Novartis Investigative Site, Washington, District of Columbia, United States|Novartis Investigative Site, Idaho Falls, Idaho, United States|Novartis Investigative Site, Alexandria, Louisiana, United States|Novartis Investigative Site, Baton Rouge, Louisiana, United States|Novartis Investigative Site, Lafayette, Louisiana, United States|Novartis Investigative Site, Boston, Massachusetts, United States|Novartis Investigative Site, Boston, Massachusetts, United States|Novartis Investigative Site, Boston, Massachusetts, United States|Novartis Investigative Site, Brooklyn, New York, United States|Novartis Investigative Site, Asheville, North Carolina, United States|Novartis Investigative Site, Columbus, Ohio, United States|Novartis Investigative Site, Bend, Oregon, United States|Novartis Investigative Site, Philadelphia, Pennsylvania, United States|Novartis Investigative Site, Houston, Texas, United States|Novartis Investigative Site, Mesquite, Texas, United States",,https://ClinicalTrials.gov/show/NCT04382651
NCT04652518,LYT-100 in Post-acute COVID-19 Respiratory Disease,,Recruiting,No Results Available,Covid19,Drug: LYT-100|Other: Placebo,Change in distance walked on the six-minute walk test (6MWT)|Change in Modified Borg Dyspnoea Scale (mBDS) score|Quality of Life assessment as collected using the SF-36,PureTech|Clinipace Worldwide|Novotech (Australia) Pty Limited,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,168,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",LYT-100-2020-02,11-Dec-20,Aug-21,Dec-21,3-Dec-20,,13-Jan-21,"University of Southern California - Keck School of Medicine, Los Angeles, California, United States|Southeastern Research Center, Winston-Salem, North Carolina, United States|Site Coordinator, Austin, Texas, United States|Institutul de Pneumoftiziologie ""Marius Nasta"" (""Marius Nasta"" Pneumoftiziology Institute), Bucharest, Romania|National Institute for Infectious Diseases ""Prof. Dr. Matei Balş"" (Arensia Eploratory Medicine), Bucharest, Romania|Spitalul Clinic De Pneumoftiziologie ""Leon Daniello"" Cluj-Napoca, Cluj-Napoca, Romania|Spitalul Clinic de Boli Infectioase si Pneumoftiziologie Dr. Victor Babes Craiova, Craiova, Romania|Spitalul Clinic de Boli Infectioase si Pneumoftiziologie Dr. Victor Babes - Timisoara, Timişoara, Romania",,https://ClinicalTrials.gov/show/NCT04652518
NCT04644120,Study to Assess Adverse Events and How Intravenous (IV) ABBV-47D11 Moves Through the Body of Adult Participants Hospitalized With Coronavirus Disease 2019 (COVID-19),,Recruiting,No Results Available,CoronaVirus Disease-2019 (COVID-19),Drug: ABBV-47D11|Drug: Placebo for ABBV-47D11,Number of Participants With Study-Drug Related Grade 3 or Higher Adverse Events (AEs)|Number of Participants With Study-Drug Related Grade 3 or Higher Infusion-Related Reactions|Maximum Observed Serum Concentration (Cmax) of ABBV-47D11|Time to Cmax (Tmax) of ABBV-47D11|Area Under the Serum Concentration-Time Curve (AUC) From Day 1 (0 hour) to Day 29 (672 hour) (AUC0-672h) of ABBV-47D11|Terminal Phase Elimination Half-Life (t1/2) of ABBV-47D11|AUC From Time 0 to Infinity (AUCinf) of ABBV-47D11|Detection of Anti-Drug Antibodies (ADA)|Detection of Neutralizing Anti-Drug Antibodies (nADA)|AUC for Change From Baseline (Day 1) in SARS-CoV-2 Ribose Nucleic Acid (RNA) Reverse Transcription-Polymerase Chain Reaction (RT-PCR)|Time to Negative SARS-CoV-2 by RT-PCR|Negative SARS-CoV-2 RNA by RT-PCR,AbbVie,All,"18 Years and older   (Adult, Older Adult)",Phase 1,32,Industry,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",M20-404|2020-005203-39,10-Dec-20,2-Aug-21,2-Aug-21,25-Nov-20,,12-Jan-21,"Glendale Adventist Medical Center /ID# 225188, Glendale, California, United States|University of Miami /ID# 225038, Miami, Florida, United States|University of Illinois Hospital and Health Sciences System /ID# 224323, Chicago, Illinois, United States|Pikeville Medical Center /ID# 224539, Pikeville, Kentucky, United States|Wayne State University /ID# 224740, Detroit, Michigan, United States|Henry Ford Health System /ID# 224320, Detroit, Michigan, United States|Michigan State University /ID# 224907, East Lansing, Michigan, United States|Saint Peter's University Hospital /ID# 225183, New Brunswick, New Jersey, United States|Saint Michaels Medical Center /ID# 225258, Newark, New Jersey, United States|The Christ Hospital /ID# 224541, Cincinnati, Ohio, United States|Prisma Health Upstate /ID# 224556, Greenville, South Carolina, United States|St. David's Healthcare Partnership, L.P., LLP /ID# 225053, Austin, Texas, United States|Hadassah Ein Kerem Hospital /ID# 225827, Jerusalem, Yerushalayim, Israel|Sheba Medical Center /ID# 225857, Ramat Gan, Israel|Universitair Medisch Centrum Utrecht /ID# 225919, Utrecht, Netherlands",,https://ClinicalTrials.gov/show/NCT04644120
NCT04511650,"A Study to Evaluate the Safety and Efficacy of Razuprotafib, a Novel Tie 2 Activator, in Hospitalized Subjects With Moderate to Severe Coronavirus Disease 2019 (COVID-19)",RESCUE,Recruiting,No Results Available,COVID-19|Acute Respiratory Distress Syndrome,Drug: Razuprotafib Subcutaneous Solution|Drug: Placebo Subcutaneous Solution,Proportion of subjects alive and free of respiratory failure at Day 7|Proportion of subjects alive and free of respiratory failure at Day 28|Length hospitalized and free of respiratory failure from baseline to Day 7|Length hospitalized and free of respiratory failure from baseline to Day 28|Length of hospitalization from baseline to Day 7|Length of hospitalization from baseline to Day 28|Proportion of subjects who improve by at least 2 categories on the NIAID 8-point ordinal scale from baseline to Day 7|Proportion of subjects who improve by at least 2 categories on the NIAID 8-point ordinal scale from baseline to Day 28|Proportion of subjects who worsen by at least 2 categories on the NIAID 8-point ordinal scale from baseline to Day 7|Proportion of subjects who worsen by at least 2 categories on the NIAID 8-point ordinal scale from baseline to Day 28|All-cause mortality at Day 7|All-cause mortality at Day 28|Length of ICU stay from baseline to Day 28|Number of subjects in each category of the NIAID 8-point ordinal scale at Day 7|Number of subjects in each category of the NIAID 8-point ordinal scale at Day 28|Time to return to prehospitalization oxygen requirement|Proportion of subjects who were discharged and remained free of respiratory failure prior to Day 7|Proportion of subjects who were discharged and remained free of respiratory failure prior to Day 28|Change in PaO2:FiO2 ratio from baseline to Day 7|Change in PaO2:FiO2 ratio from baseline to Day 28|Number of participants with any serious adverse event from baseline to Day 7|Number of participants with any treatment emergent adverse event from baseline to Day 28|Number of participants with any treatment emergent adverse event from baseline to Day 7|Number of participants with any serious adverse event from baseline to Day 28,Aerpio Therapeutics|Medical Technology Enterprise Consortium (MTEC),All,"18 Years and older   (Adult, Older Adult)",Phase 2,180,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",AKB-9778-CI-6001,21-Oct-20,Feb-21,Feb-21,13-Aug-20,,17-Nov-20,"University of Southern California, Los Angeles, California, United States|University of California- Irvine Medical Center, Orange, California, United States|MedStar Georgetown University Hospital, Washington, District of Columbia, United States|Snake River Research, Idaho Falls, Idaho, United States|University of Minnesota, Minneapolis, Minnesota, United States|University of Cincinnati, Cincinnati, Ohio, United States|Rhode Island Hospital, Providence, Rhode Island, United States",,https://ClinicalTrials.gov/show/NCT04511650
NCT04348656,CONvalescent Plasma for Hospitalized Adults With COVID-19 Respiratory Illness (CONCOR-1),CONCOR-1,Recruiting,No Results Available,COVID-19,Biological: Convalescent plasma,Intubation or death in hospital|Need for Intubation|Time to intubation|Ventilator-free days|In-hospital death|Time to in-hospital death|Death at 30 days|Length of stay in intensive care unit (ICU)|Length of stay in hospital|Need for extracorpeal membrane oxygenation (ECMO)|Need for renal replacement therapy|Development of myocarditis|Adverse events and serious adverse events|CCP transfusion-associated adverse events (AE),Hamilton Health Sciences Corporation|Canadian Blood Services|Héma-Québec|University of Toronto|Université de Montréal|Weill Cornell Medicine/New York-Presbyterian|New York Blood Centre|McMaster University,All,"16 Years and older   (Child, Adult, Older Adult)",Phase 3,1200,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CONCOR-1,14-May-20,31-Oct-20,31-Dec-20,16-Apr-20,,5-Nov-20,"Brooklyn Hospital, Brooklyn, New York, United States|Lower Manhattan Hospital, New York, New York, United States|Weill Cornell Medical Center, New York, New York, United States|Peter Lougheed Center, Calgary, Alberta, Canada|Foothills Medical Centre, Calgary, Alberta, Canada|Rockyview General Hospital, Calgary, Alberta, Canada|University of Alberta Hospital, Edmonton, Alberta, Canada|Sturgeon Community Hospital, St. Albert, Alberta, Canada|Vancouver General Hospital, Vancouver, British Columbia, Canada|Royal Jubilee Hospital, Victoria, British Columbia, Canada|Victoria General Hospital, Victoria, British Columbia, Canada|Campbellton Regional Hospital, Campbellton, New Brunswick, Canada|Edmundston Regional Hospital, Edmundston, New Brunswick, Canada|Dr. Georges-L.-Dumont University Hospital Centre, Moncton, New Brunswick, Canada|Lakeridge Health Ajax Pickering, Ajax, Ontario, Canada|Hamilton General Hospital, Hamilton, Ontario, Canada|St. Joseph's Healthcare, Hamilton, Ontario, Canada|Grand River Hospital, Kitchener, Ontario, Canada|St. Mary's Hospital, Kitchener, Ontario, Canada|London Health Sciences Centre - University Hospital, London, Ontario, Canada|Victoria Hospital, London, Ontario, Canada|Markham Stouffville Hospital, Markham, Ontario, Canada|Trillium Health Partners - Mississauga Hospital, Mississauga, Ontario, Canada|Trillium Health Partners - Credit Valley, Mississauga, Ontario, Canada|North York General Hospital, North York, Ontario, Canada|Lakeridge Health Oshawa, Oshawa, Ontario, Canada|Ottawa Hospital - General Campus, Ottawa, Ontario, Canada|Ottawa Hospital - Civic Campus, Ottawa, Ontario, Canada|Queensway Carleton Hospital, Ottawa, Ontario, Canada|Bluewater Health, Sarnia, Ontario, Canada|Scarborough Health Network, Centenary Hospital, Scarborough, Ontario, Canada|Scarborough Health Network, General Hospital, Scarborough, Ontario, Canada|Scarborough Health Network, Birchmount Hospital, Scarborough, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|Unity Health St. Michael's Hospital, Toronto, Ontario, Canada|Sinai Health System, Toronto, Ontario, Canada|Toronto General Hospital, Toronto, Ontario, Canada|Toronto Western Hospital, Toronto, Ontario, Canada|Unity Health, St. Joseph's Health Care Centre, Toronto, Ontario, Canada|Windsor Regional Hospital - Metropolitan Campus, Windsor, Ontario, Canada|Windsor Regional Hospital - Ouellette Campus, Windsor, Ontario, Canada|Hôpital de la Cité-de-la-Santé, Laval, Quebec, Canada|Hôpital Charles-Le Moyne, Longueuil, Quebec, Canada|Hotel Dieu Hospital of Lévis, Lévis, Quebec, Canada|Hôpital Maisonneuve-Rosemont, Montréal, Quebec, Canada|Centre hospitalier de l'Université de Montréal, Montréal, Quebec, Canada|Centre hospitalier universitaire Sainte-Justine, Montréal, Quebec, Canada|Jewish General Hospital, Montréal, Quebec, Canada|McGill University Health Centre, Montréal, Quebec, Canada|Hôpital du Sacré-Coeur de Montreal, Montréal, Quebec, Canada|Centre Hospitalier Universitaire (CHU) de Québec - Université Laval, Quebec City, Quebec, Canada|Institut Universitaire de cardiologie et pneumologie de Québec, Quebec City, Quebec, Canada|Centre hospitalier régional de St-Jérôme, Saint-Jérôme, Quebec, Canada|Ciussse De L'Estrie CHUS, Sherbrooke, Quebec, Canada|Centre hospitalier affilié universitaire régional de Trois-Rivières, Trois-Rivières, Quebec, Canada|Regina General Hospital, Regina, Saskatchewan, Canada|Pasqua Hospital, Regina, Saskatchewan, Canada|St. Paul's Hospital, Saskatoon, Saskatchewan, Canada|Royal University Hospital, Saskatoon, Saskatchewan, Canada",,https://ClinicalTrials.gov/show/NCT04348656
NCT04148430,A Study of Anakinra to Prevent or Treat Severe Side Effects for Patients Receiving CAR-T Cell Therapy,,Recruiting,No Results Available,B Cell ALL|B-Cell Lymphoma|B-cell Non Hodgkin Lymphoma,Drug: Anakinra,Arm 1 (CAR T Cell Group) Rate of Severe Neurotoxicities|Arm 2 (COVID-19 Group) proportion of patients able to avoid death or mechanical ventilation,Memorial Sloan Kettering Cancer Center,All,"18 Years and older   (Adult, Older Adult)",Phase 2,90,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,19-168,30-Oct-19,Oct-22,Oct-22,1-Nov-19,,17-Nov-20,"Memorial Sloan Kettering Cancer Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04148430
